name,acronym,category,state,state_name,city,region,website,academic_system_url,academic_system_name,qs_ranking,the_ranking,graduate_page_url,masters_count,phd_count,english_programmes,int_office_email,int_office_phone,int_office_url
Universidade Federal de Alagoas,UFAL,Federal,AL,Alagoas,Maceió,Nordeste,https://ufal.br,https://sigaa.sig.ufal.br/sigaa,SIGAA,161-170 (Latin America),1001+ (World),https://ufal.br/pos-graduacao,,,No dedicated page found,asi@reitoria.ufal.br,+55 (82) 3214-1761,https://asi.ufal.br/en
Universidade Estadual de Feira de Santana,UEFS,State,BA,Bahia,Feira de Santana,Nordeste,https://www.uefs.br,https://www.uefs.br/sig,SIG,,,https://www.uefs.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual de Santa Cruz,UESC,State,BA,Bahia,Ilhéus,Nordeste,https://www.uesc.br,https://www.uesc.br/sistema-academico,Sistema Acadêmico UESC,,,https://www.uesc.br/pos-graduacao,,,Yes - ARIN International page available,,+55 (73) 3680-5200,https://www.uesc.br/arint
Universidade Estadual do Sudoeste da Bahia,UESB,State,BA,Bahia,Vitória da Conquista,Nordeste,https://www.uesb.br,https://www.uesb.br/sistema-academico,Sistema Acadêmico UESB,,,https://www.uesb.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal da Bahia,UFBA,Federal,BA,Bahia,Salvador,Nordeste,https://ufba.br,https://sigaa.ufba.br/sigaa,SIGAA,801-1000 (World),801-1000 (World),https://www.portal.ufba.br/pos-graduacao,,,Yes - offered through SRI,sri@ufba.br,+55(71) 3283-7025 / 7074,https://aai.ufba.br/en
Universidade Federal do Oeste da Bahia,UFOB,Federal,BA,Bahia,Barreiras,Nordeste,https://ufob.edu.br,https://sig.ufob.edu.br/sigaa,SIGAA,,,https://ufob.edu.br/ensino/pos-graduacao,,,No dedicated page found,,,
Universidade Federal do Recôncavo da Bahia,UFRB,Federal,BA,Bahia,Cruz das Almas,Nordeste,https://ufrb.edu.br,https://sigaa.ufrb.edu.br/sigaa,SIGAA,,,https://www.ufrb.edu.br/portal/pos-graduacao,,,Yes - English courses through NucLi/IsF,supai@reitoria.ufrb.edu.br,+55 75 3621-5315,https://ufrb.edu.br/supai/
Universidade Federal do Sul da Bahia,UFSB,Federal,BA,Bahia,Itabuna,Nordeste,https://ufsb.edu.br,https://sig.ufsb.edu.br/sigaa,SIGAA,,,https://ufsb.edu.br/pos-graduacao,,,No dedicated page found,ari@ufsb.edu.br,+55 (73) 3612-1038,https://ufsb.edu.br/ari/a-ari
Universidade do Estado da Bahia,UNEB,State,BA,Bahia,Salvador,Nordeste,https://www.uneb.br,https://www.uneb.br/sistema-academico,SAGRES WEB,,,https://www.uneb.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual Vale do Acaraú,UVA,State,CE,Ceará,Sobral,Nordeste,https://www.uvanet.br,https://www.uvanet.br/sistema-academico,Sistema Acadêmico UVA,,,https://www.uvanet.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual do Ceará,UECE,State,CE,Ceará,Fortaleza,Nordeste,https://www.uece.br,https://www.uece.br/sig,SIG,,,https://www.uece.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal da Lusofonia Afro-Brasileira,UNILAB,Federal,CE,Ceará,Redenção,Nordeste,https://unilab.edu.br,https://sig.unilab.edu.br/sigaa,SIGAA,,,https://unilab.edu.br/pos-graduacao/,,,No dedicated page found,,,
Universidade Federal do Cariri,UFCA,Federal,CE,Ceará,Juazeiro do Norte,Nordeste,https://www.ufca.edu.br,https://sig.ufca.edu.br/sigaa,SIGAA,,,https://www.ufca.edu.br/cursos/pos-graduacao/,11,2,No dedicated page found,,,
Universidade Federal do Ceará,UFC,Federal,CE,Ceará,Fortaleza,Nordeste,https://www.ufc.br,https://si3.ufc.br/sigaa,SIGAA (SI3),1401+ (World),1501+ (World),https://www.ufc.br/ensino/pos-graduacao,,,No dedicated page found,internacional@ufc.br,,https://prointer.ufc.br/
Universidade Regional do Cariri,URCA,State,CE,Ceará,Crato,Nordeste,https://www.urca.br,https://www.urca.br/sistema-academico,Sistema Acadêmico URCA,,,https://www.urca.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual da Região Tocantina do Maranhão,UEMASUL,State,MA,Maranhão,Imperatriz,Nordeste,https://www.uemasul.edu.br,,,,,https://www.uemasul.edu.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual do Maranhão,UEMA,State,MA,Maranhão,São Luís,Nordeste,https://www.uema.br,https://www.uema.br/sig,SIG,233 (Latin America),,https://www.uema.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal do Maranhão,UFMA,Federal,MA,Maranhão,São Luís,Nordeste,https://portalpadrao.ufma.br,https://sigaa.ufma.br,SIGAA,201-250 (Latin America),1501+ (World),https://portalpadrao.ufma.br/pos-graduacao,,,No dedicated page found,ageufma.din@ufma.br,+55 (98) 3272-0100,https://portalpadrao.ufma.br/ageufma/internacionalizacao
Universidade Estadual da Paraíba,UEPB,State,PB,Paraíba,Campina Grande,Nordeste,https://www.uepb.edu.br,https://www.uepb.edu.br/sig,SIG,,,https://www.uepb.edu.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal da Paraíba,UFPB,Federal,PB,Paraíba,João Pessoa,Nordeste,https://www.ufpb.br,https://sigaa.ufpb.br/sigaa,SIGAA,"100 (Latin America 2026), 1401+ (World 2025)",,https://www.ufpb.br/pos-graduacao,,,No dedicated page found,secretaria@aci.ufpb.br,+55 (83) 3216-7156,https://www.ufpb.br/aci
Universidade Federal de Campina Grande,UFCG,Federal,PB,Paraíba,Campina Grande,Nordeste,https://www.ufcg.edu.br,https://sigaa.ufcg.edu.br/sigaa,SIGAA,,,https://www.ufcg.edu.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal Rural de Pernambuco,UFRPE,Federal,PE,Pernambuco,Recife,Nordeste,https://www.ufrpe.br,https://sigaa.ufrpe.br/sigaa,SIGAA,,,https://www.ufrpe.br/pos-graduacao,,,Yes - International Students page available,international@ufrpe.br,+55 (81) 3320-6010,https://international.ufrpe.br/
Universidade Federal de Pernambuco,UFPE,Federal,PE,Pernambuco,Recife,Nordeste,https://www.ufpe.br,https://sigaa.ufpe.br/sigaa,SIGAA,"49 (Latin America), 1201-1400 (World 2025)",1201 (World 2025),https://www.ufpe.br/pos-graduacao,,,Yes - International catalogue available,secci@ufpe.br,+55 81 2126-8006 / 2126-7021,https://www.ufpe.br/dri
Universidade Federal do Agreste de Pernambuco,UFAPE,Federal,PE,Pernambuco,Garanhuns,Nordeste,https://ufape.edu.br,https://sigs.ufape.edu.br/sigaa,SIGAA,,,https://ufape.edu.br/pos-graduacao,,,No dedicated page found,suporte.dti@ufape.edu.br,,
Universidade Federal do Vale do São Francisco,UNIVASF,Federal,PE,Pernambuco,Petrolina,Nordeste,https://portais.univasf.edu.br,https://siga.univasf.edu.br,SIG@,,,https://portais.univasf.edu.br/pos-graduacao,,,No dedicated page found,srca@univasf.edu.br,,https://portais.univasf.edu.br/srca
Universidade de Pernambuco,UPE,State,PE,Pernambuco,Recife,Nordeste,https://www.upe.br,https://www.upe.br/sistema-academico,Sistema Acadêmico UPE,,,https://www.upe.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual do Piauí,UESPI,State,PI,Piauí,Teresina,Nordeste,https://www.uespi.br,https://www.uespi.br/sistema-academico,Sistema Acadêmico UESPI,,,https://www.uespi.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal do Delta do Parnaíba,UFDPAR,Federal,PI,Piauí,Parnaíba,Nordeste,https://ufdpar.edu.br,https://sigaa.ufdpar.edu.br/sigaa,SIGAA,,,https://ufdpar.edu.br/pos-graduacao,,,No dedicated page found,reitoria@ufdpar.edu.br,+55 (86) 99451-0372,https://ufdpar.edu.br/reitoria
Universidade Federal do Piauí,UFPI,Federal,PI,Piauí,Teresina,Nordeste,https://ufpi.br,https://sigaa.ufpi.br/sigaa,SIGAA,,,https://ufpi.br/pos-graduacao,,,No dedicated page found,,,http://www.leg.ufpi.br/assinter/
Universidade Federal Rural do Semi-Árido,UFERSA,Federal,RN,Rio Grande do Norte,Mossoró,Nordeste,https://ufersa.edu.br,https://sigaa.ufersa.edu.br/sigaa,SIGAA,,,https://ufersa.edu.br/pos-graduacao,,,No dedicated page found,,,
Universidade Federal do Rio Grande do Norte,UFRN,Federal,RN,Rio Grande do Norte,Natal,Nordeste,https://www.ufrn.br,https://sigaa.ufrn.br/sigaa,SIGAA,"98 (Latin America 2025), 1401+ (World 2026)",1501+ (World 2026),https://ufrn.br/pos-graduacao,,,Yes - SRI offers English support,sri@sri.ufrn.br,+55 (84) 3342-2271,https://sri.ufrn.br/
Universidade do Estado do Rio Grande do Norte,UERN,State,RN,Rio Grande do Norte,Mossoró,Nordeste,https://www.uern.br,https://www.uern.br/sistema-academico,Sistema Acadêmico UERN,,,https://www.uern.br/pos-graduacao,,,No dedicated page found,,,
Universidade Estadual de Sergipe,UNESE,State,SE,Sergipe,Aracaju,Nordeste,,,,,,,,,,,,
Universidade Federal de Sergipe,UFS,Federal,SE,Sergipe,São Cristóvão,Nordeste,https://www.ufs.br,https://sigaa.ufs.br/sigaa,SIGAA,,"1501+ (World 2026), was 601-800 (2022)",https://www.ufs.br/pos-graduacao,,,No dedicated page found,,+55 (79) 3194-6600,
Universidade de Brasília,UNB,Federal,DF,Distrito Federal,Brasília,Centro-Oeste,https://www.unb.br,https://sigaa.unb.br/sigaa/public/home.jsf,SIGAA,751-760,1201-1500,https://dpg.unb.br/programas-de-pos-graduacao/,96,78,Selected graduate programs offered in English; international office lists English-taught options,int@unb.br,+55 (61) 3107-0462 / +55 (61) 3107-0463,https://int.unb.br/
Universidade do Distrito Federal Jorge Amaury Maia Nunes,UNDF,State,DF,Distrito Federal,Brasília,Centro-Oeste,https://universidade.df.gov.br,https://academico.undf.edu.br/,Solis GE,,,https://universidade.df.gov.br/institucional,1,0,Not available,,,
Centro Universitário de Mineiros,UNIFIMES,Municipal,GO,Goiás,Mineiros,Centro-Oeste,https://unifimes.edu.br,https://sei.unifimes.edu.br/,SEI - Sistema Integrado de Ensino,,,https://unifimes.edu.br/cursos/pos-graduacao/,2,1,Not available,,,https://unifimes.edu.br/cima/
Universidade Estadual de Goiás,UEG,State,GO,Goiás,Anápolis,Centro-Oeste,https://www.ueg.br,https://app.ueg.br/,App UEG (Portal Acadêmico),,,https://www.ueg.br/conteudo/13660_estude_conosco,14,4,Not available,arex@ueg.br,+55 (62) 3328-1438,https://www.ueg.br/arex
Universidade Federal de Catalão,UFCAT,Federal,GO,Goiás,Catalão,Centro-Oeste,https://ufcat.edu.br,https://sigaa.sistemas.ufcat.edu.br/sigaa/public/home.jsf,SIGAA,,,https://ufcat.edu.br/editais,12,4,Not available,,,
Universidade Federal de Goiás,UFG,Federal,GO,Goiás,Goiânia,Centro-Oeste,https://ufg.br,https://sigaa.sistemas.ufg.br/sigaa/public/home.jsf,SIGAA,1401+,1201-1500,https://pos.ufg.br/p/programas-mestrado-doutorado-ufg,67,52,International office website has English section; some programmes in English,sri@ufg.br,+55 62 3521-1165,https://sri.ufg.br/
Universidade Federal de Jataí,UFJ,Federal,GO,Goiás,Jataí,Centro-Oeste,https://ufj.edu.br,https://sigaa.sistemas.ufj.edu.br/sigaa/public/home.jsf,SIGAA,,,https://cga.jatai.ufg.br/p/32571-estude-na-ufj-pos-graduacao,7,1,Not available,,,
Universidade de Rio Verde,UNIRV,Municipal,GO,Goiás,Rio Verde,Centro-Oeste,https://www.unirv.edu.br,https://sei.unirv.edu.br/,SEI - Sistema Educacional Integrado,,,https://www.unirv.edu.br/mestrado_curso.php?id=1,2,0,Not available,dmig.internacional@unirv.edu.br,+55 64 3611-2271,https://www.unirv.edu.br/paginas.php?id=848
Universidade Estadual de Mato Grosso do Sul,UEMS,State,MS,Mato Grosso do Sul,Dourados,Centro-Oeste,https://www.uems.br,https://www.uems.br/aluno,Portal do Aluno UEMS,,,https://www.uems.br/ppg,12,5,Postgraduate Program in Natural Resources offered in English,dri@uems.br,+55 (67) 3902-2376,https://www.uems.br/diretoria/dri
Universidade Federal da Grande Dourados,UFGD,Federal,MS,Mato Grosso do Sul,Dourados,Centro-Oeste,https://www.ufgd.edu.br,https://portal.ufgd.edu.br/,Portal UFGD,,,https://portal.ufgd.edu.br/pos-graduacao,24,12,Full English website at /english section; some graduate programs in Spanish/English,esai@ufgd.edu.br,+55 (67) 3410-2745,https://portal.ufgd.edu.br/setor/internacionalizacao-eng/index
Universidade Federal de Mato Grosso do Sul,UFMS,Federal,MS,Mato Grosso do Sul,Campo Grande,Centro-Oeste,https://www.ufms.br,https://sistemas.ufms.br/,SIGAA UFMS,151-160 (Latin America),1501+,https://posgraduacao.ufms.br/portal,45,23,International office page in English; some graduate programs accept international students,aginter@ufms.br,+55 67 3345-3945,https://aginter.ufms.br/
Universidade Federal de Mato Grosso,UFMT,Federal,MT,Mato Grosso,Cuiabá,Centro-Oeste,https://www.ufmt.br,https://sistemas.ufmt.br/,Portal de Sistemas Integrados (Portal Acadêmico),301-350 (Latin America),1501+,https://www.ufmt.br/unidade/pos-graduacao,40,20,Not available,secri@ufmt.br,+55 (65) 3313-7296,https://ufmt.br/secretaria/secri
Universidade Federal de Rondonópolis,UFR,Federal,MT,Mato Grosso,Rondonópolis,Centro-Oeste,https://ufr.edu.br,https://ufr.edu.br/servicos/,Portal UFMT (shared legacy),,,https://ufr.edu.br/cursos/pos-graduacao/,5,1,Not available,internacional@ufr.edu.br,+55 (66) 3410-4187,https://ufr.edu.br/informacao/contato/
Universidade do Estado de Mato Grosso,UNEMAT,State,MT,Mato Grosso,Cáceres,Centro-Oeste,https://unemat.br,https://unemat.br/site/servicos/,Portal Unemat,,,https://unemat.br/site/institucional/nossa-historia,16,11,Not available,internacionalizacao@unemat.br,+55 (65) 98120-0255,https://unemat.br/site/rtr/assessorias-reitoria
Universidade Aberta Capixaba,UNAC,State,ES,Espírito Santo,Vitória,Sudeste,https://unac.espiritosanto.br,https://unac.espiritosanto.br,AVA-UnAC,,,,0,0,,,,
Universidade Federal do Espírito Santo,UFES,Federal,ES,Espírito Santo,Vitória,Sudeste,https://www.ufes.br,https://www.ufes.br/graduacao,SIG-UFES (Sistema Integrado de Gestão),1501+ (QS World 2025),1501+ (THE World 2026),https://prppg.ufes.br/mestrados-e-doutorados-da-ufes,62,32,,sri@ufes.br,+55 (27) 3145-9900,https://internacional.ufes.br
Universidade Estadual de Montes Claros,UNIMONTES,State,MG,Minas Gerais,Montes Claros,Sudeste,https://www.unimontes.br,https://www.unimontes.br/graduacao,SIG-UNIMONTES,,,https://www.unimontes.br/pos-graduacao,24,8,,assessoria.internacional@unimontes.br,+55 (38) 3229-8000,https://www.unimontes.br/internacional
Universidade Federal de Alfenas,UNIFAL-MG,Federal,MG,Minas Gerais,Alfenas,Sudeste,https://www.unifal-mg.edu.br,https://www.unifal-mg.edu.br/portal/graduacao/,SIG-UFAL (Sistema de Informações Gerenciais),171-180 (QS Latin America 2026),,https://www.unifal-mg.edu.br/ppg/,23,6,,sri@unifal-mg.edu.br,+55 (35) 3299-1102,https://www.unifal-mg.edu.br/sri/
Universidade Federal de Itajubá,UNIFEI,Federal,MG,Minas Gerais,Itajubá,Sudeste,https://unifei.edu.br,https://sigadmin.unifei.edu.br/admin/public/loginunificado/index.jsf,SIG-UFEI (Sistemas de Informações Gerenciais),131 (QS Latin America 2026),1501+ (THE World 2025),https://prppg.unifei.edu.br,12,6,True,international@unifei.edu.br,+55 (35) 3629-1101,https://international.unifei.edu.br
Universidade Federal de Juiz de Fora,UFJF,Federal,MG,Minas Gerais,Juiz de Fora,Sudeste,https://www.ufjf.br,https://www2.ufjf.br/sigaa/,SIGAA (Sistema Integrado de Gestão de Atividades Acadêmicas),1201-1400 (QS World 2025),1501+ (THE World 2026),https://www2.ufjf.br/propg/,36,17,,dri@ufjf.br,+55 (32) 2102-3911,https://www.ufjf.br/dri/
Universidade Federal de Lavras,UFLA,Federal,MG,Minas Gerais,Lavras,Sudeste,https://ufla.br,https://sig.ufla.br,SIG-UFLA,101-150 (QS WUR By Subject 2026),,https://ufla.br/pos-graduacao,41,24,,dri@ufla.br,+55 (35) 3829-1111,https://dri.ufla.br
Universidade Federal de Minas Gerais,UFMG,Federal,MG,Minas Gerais,Belo Horizonte,Sudeste,https://www.ufmg.br,https://sistemas.ufmg.br,Sistema Acadêmico (Minha UFMG),=600 (QS World 2027),801-1000 (THE World 2026),https://www.ufmg.br/prpg/,90,73,,inter@ufmg.br,+55 (31) 3409-4000,https://www.ufmg.br/international-visitors
Universidade Federal de Ouro Preto,UFOP,Federal,MG,Minas Gerais,Ouro Preto,Sudeste,https://ufop.br,https://www.ufop.br/sistemas-academicos,SIG-UFOP (Sistema Acadêmico),133 (QS Latin America 2026),1501+ (THE World 2026),https://prppg.ufop.br,30,18,,ari@ufop.edu.br,+55 (31) 3559-1218,https://ari.ufop.br
Universidade Federal de São João del-Rei,UFSJ,Federal,MG,Minas Gerais,São João del-Rei,Sudeste,https://ufsj.edu.br,https://www.ufsj.edu.br/pos_graduacao/,SIGAA-UFSJ,191-200 (QS Latin America 2026),,https://ufsj.edu.br/pos_graduacao/programas_de_pos-graduacao.php,18,8,,inter@ufsj.edu.br,+55 (32) 3379-2340,https://ufsj.edu.br/intercambio/
Universidade Federal de Uberlândia,UFU,Federal,MG,Minas Gerais,Uberlândia,Sudeste,https://ufu.br,https://www.ufu.br/graduacao,SIG-UFU,1401+ (QS World 2026),1501+ (THE World 2026),https://proppg.ufu.br,37,19,,dri@ufu.br,+55 (34) 3225-8000,https://dri.ufu.br
Universidade Federal de Viçosa,UFV,Federal,MG,Minas Gerais,Viçosa,Sudeste,https://www.ufv.br,https://www2.dti.ufv.br/noticias/scripts/index.php,SIG-UFV,1401+ (QS World 2027),1501+ (THE World 2026),https://www.pos.ufv.br,42,30,,dri@ufv.br,+55 (31) 3612-2000,https://www.dri.ufv.br
Universidade Federal do Triângulo Mineiro,UFTM,Federal,MG,Minas Gerais,Uberaba,Sudeste,https://www.uftm.edu.br,https://www.uftm.edu.br/graduacao,SIG-UFTM,251-300 (QS Latin America 2026),1501+ (THE World 2023),https://www.uftm.edu.br/pos-graduacao,15,6,,inter@uftm.edu.br,+55 (34) 3318-5000,https://www.uftm.edu.br/internacional
Universidade Federal dos Vales do Jequitinhonha e Mucuri,UFVJM,Federal,MG,Minas Gerais,Diamantina,Sudeste,https://portal.ufvjm.edu.br,https://livre.ufvjm.edu.br/portal,Livre (Sistema Acadêmico UFVJM),201-250 (QS Latin America 2026),1501+ (THE World 2023),https://portal.ufvjm.edu.br/pos-graduacao,14,3,,dri@ufvjm.edu.br,+55 (38) 3531-3811,http://www.ufvjm.edu.br/dri/
Universidade do Estado de Minas Gerais,UEMG,State,MG,Minas Gerais,Belo Horizonte,Sudeste,https://www.uemg.br,https://www.uemg.br/graduacao,Sistema Acadêmico UEMG,,,https://www.uemg.br/pos-graduacao,20,6,,assessoria.internacional@uemg.br,+55 (31) 3239-5600,https://www.uemg.br/internacional
Faculdade Municipal de Macaé,FEMASS,Municipal,RJ,Rio de Janeiro,Macaé,Sudeste,https://www.femass.edu.br,https://www.femass.edu.br/graduacao,Sistema Acadêmico FeMASS,,,,0,0,,,+55 (22) 2765-7100,
Universidade Estadual do Norte Fluminense Darcy Ribeiro,UENF,State,RJ,Rio de Janeiro,Campos dos Goytacazes,Sudeste,https://www.uenf.br,https://www.uenf.br/graduacao,Sistema Acadêmico UENF,,,https://www.uenf.br/pos-graduacao,20,12,,sri@uenf.br,+55 (22) 2739-7000,https://www.uenf.br/sri
Universidade Federal Fluminense,UFF,Federal,RJ,Rio de Janeiro,Niterói,Sudeste,https://www.uff.br,https://www.uff.br/sistemas,SIG-UFF (Sistema de Gestão Acadêmica),1201-1400 (QS World 2027),1501+ (THE World 2026),https://www.uff.br/ppg,59,42,,sri@id.uff.br,+55 (21) 2629-5000,https://www.uff.br/sri
Universidade Federal Rural do Rio de Janeiro,UFRRJ,Federal,RJ,Rio de Janeiro,Seropédica,Sudeste,http://portal.ufrrj.br,https://sigaa.ufrrj.br,SIGAA-UFRRJ,171-180 (QS Latin America 2026),,https://cursos.ufrrj.br/posgraduacao/,30,18,,sri@ufrrj.br,+55 (21) 2681-4210,https://sri.ufrrj.br
Universidade Federal do Estado do Rio de Janeiro,UNIRIO,Federal,RJ,Rio de Janeiro,Rio de Janeiro,Sudeste,https://www.unirio.br,https://www.unirio.br/graduacao,SIG-UNIRIO,1401+ (QS World 2025),1501+ (THE World 2023),https://www.unirio.br/pos-graduacao,30,18,,sri@unirio.br,+55 (21) 2532-0071,https://www.unirio.br/sri
Universidade Federal do Rio de Janeiro,UFRJ,Federal,RJ,Rio de Janeiro,Rio de Janeiro,Sudeste,https://ufrj.br,https://www.siga.ufrj.br,SIGA-UFRJ (Sistema Integrado de Gestão Acadêmica),367 (QS World 2027),601-800 (THE World 2026),https://www.pr2.ufrj.br,117,91,,internacional@ufrj.br,+55 (21) 3938-0346,https://internacional.ufrj.br
Universidade do Estado do Rio de Janeiro,UERJ,State,RJ,Rio de Janeiro,Rio de Janeiro,Sudeste,https://www.uerj.br,https://www.sr2.uerj.br,Sistema Acadêmico UERJ,1401+ (QS World 2025),1501+ (THE World 2026),https://www.uerj.br/pos-graduacao,75,50,,dri@uerj.br,+55 (21) 2334-0639,https://www.uerj.br/dri
Centro Universitário das Faculdades Associadas de Ensino,UNIFAE,Municipal,SP,São Paulo,São João da Boa Vista,Sudeste,https://www.fae.br,https://www.fae.br/graduacao,Sistema Acadêmico FAE,,,https://www.fae.br/pos-graduacao,4,0,,,+55 (19) 3634-2000,
Faculdade de Medicina de Marília,FAMEMA,State,SP,São Paulo,Marília,Sudeste,https://www.famema.br,https://www.famema.br/ensino,Sistema Acadêmico FAMEMA,,,https://www.famema.br/pos-graduacao,4,2,,intercambio@famema.br,+55 (14) 3434-1700,https://www.famema.br/assessoria-internacional
Faculdade de Medicina de São José do Rio Preto,FAMERP,State,SP,São Paulo,São José do Rio Preto,Sudeste,https://www.famerp.br,https://www.famerp.br/graduacao,Sistema Acadêmico FAMERP,,,https://www.famerp.br/pos-graduacao,8,4,,intercambio@famerp.br,+55 (17) 3201-5700,https://www.famerp.br/internacional
Faculdade de Tecnologia do Estado de São Paulo,FATEC,State,SP,São Paulo,São Paulo,Sudeste,https://www.fatec.sp.gov.br,https://www.fatec.sp.gov.br/graduacao,Sistema de Informações Acadêmicas (SIA),,,,0,0,,assessoria.internacional@fatec.sp.gov.br,+55 (11) 3322-2200,https://www.fatec.sp.gov.br/internacional
Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,State,SP,São Paulo,São Paulo,Sudeste,https://www.unesp.br,https://www.unesp.br/sisgrad,SISGRAD (Sistema de Graduação),513 (QS World 2027),1201-1500 (THE World 2026),https://www.unesp.br/pos-graduacao,120,80,,ari@unesp.br,+55 (11) 5627-1000,https://www.international.unesp.br
Universidade Estadual de Campinas,UNICAMP,State,SP,São Paulo,Campinas,Sudeste,https://www.unicamp.br,https://www.dac.unicamp.br,DAC (Diretoria Acadêmica),277 (QS World 2027),601-800 (THE World 2026),https://www.prpg.unicamp.br,150,120,,deri@unicamp.br,+55 (19) 3521-2000,https://www.deri.unicamp.br
